2026-03-22 02:17:50,608 INFO    MainThread:727882 [wandb_setup.py:_flush():81] Current SDK version is 0.25.0
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_setup.py:_flush():81] Configure stats pid to 727882
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_setup.py:_flush():81] Loading settings from environment variables
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_init.py:setup_run_log_directory():717] Logging user logs to /home/kelares/Desktop/thesis/HyperFisher/wandb/run-20260322_021750-hbpl7kjb/logs/debug.log
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_init.py:setup_run_log_directory():718] Logging internal logs to /home/kelares/Desktop/thesis/HyperFisher/wandb/run-20260322_021750-hbpl7kjb/logs/debug-internal.log
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_init.py:init():844] calling init triggers
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_init.py:init():849] wandb.init called with sweep_config: {}
config: {'model': 'HyperNetwork', 'task': 'split_cifar10', 'seed': 1234, 'epochs': 5, 'methods': ['fopng'], 'lr': 0.001, 'lam': 0.001, 'alpha': 0.3, 'fisher_samples': 1024, 'grads_per_task': 40, 'max_directions': 80, 'hyper_hidden_dim': 16, 'embedding_dim': 4, 'check_vram': False, '_wandb': {}}
2026-03-22 02:17:50,609 INFO    MainThread:727882 [wandb_init.py:init():892] starting backend
2026-03-22 02:17:50,825 INFO    MainThread:727882 [wandb_init.py:init():895] sending inform_init request
2026-03-22 02:17:50,831 INFO    MainThread:727882 [wandb_init.py:init():903] backend started and connected
2026-03-22 02:17:50,846 INFO    MainThread:727882 [wandb_init.py:init():973] updated telemetry
2026-03-22 02:17:50,849 INFO    MainThread:727882 [wandb_init.py:init():997] communicating run to backend with 90.0 second timeout
2026-03-22 02:17:51,400 INFO    MainThread:727882 [wandb_init.py:init():1042] starting run threads in backend
2026-03-22 02:17:51,435 INFO    MainThread:727882 [wandb_run.py:_console_start():2524] atexit reg
2026-03-22 02:17:51,435 INFO    MainThread:727882 [wandb_run.py:_redirect():2373] redirect: wrap_raw
2026-03-22 02:17:51,435 INFO    MainThread:727882 [wandb_run.py:_redirect():2442] Wrapping output streams.
2026-03-22 02:17:51,435 INFO    MainThread:727882 [wandb_run.py:_redirect():2465] Redirects installed.
2026-03-22 02:17:51,437 INFO    MainThread:727882 [wandb_init.py:init():1082] run started, returning control to user process
2026-03-22 02:17:51,437 INFO    MainThread:727882 [wandb_run.py:_config_callback():1403] config_cb None None {'num_tasks': 10}
2026-03-22 02:18:26,813 INFO    wandb-AsyncioManager-main:727882 [service_client.py:_forward_responses():134] Reached EOF.
2026-03-22 02:18:26,813 INFO    wandb-AsyncioManager-main:727882 [mailbox.py:close():155] Closing mailbox, abandoning 1 handles.
