<torch.utils.data.dataloader.DataLoader object at 0x7f4a8a47baf0>
Epoch 1/500 - Loss: 0.2416
Epoch 2/500 - Loss: 0.2342
Epoch 3/500 - Loss: 0.2375
Epoch 4/500 - Loss: 0.2356
Epoch 5/500 - Loss: 0.2348
Epoch 6/500 - Loss: 0.2334
Epoch 7/500 - Loss: 0.2346
Epoch 8/500 - Loss: 0.2350
Epoch 9/500 - Loss: 0.2333
Epoch 10/500 - Loss: 0.2333
Epoch 11/500 - Loss: 0.2340
Epoch 12/500 - Loss: 0.2303
Epoch 13/500 - Loss: 0.2307
Epoch 14/500 - Loss: 0.2296
Epoch 15/500 - Loss: 0.2348
Epoch 16/500 - Loss: 0.2300
Epoch 17/500 - Loss: 0.2324
Epoch 18/500 - Loss: 0.2267
Epoch 19/500 - Loss: 0.2257
Epoch 20/500 - Loss: 0.2266
Epoch 21/500 - Loss: 0.2298
Epoch 22/500 - Loss: 0.2251
Epoch 23/500 - Loss: 0.2256
Epoch 24/500 - Loss: 0.2282
Epoch 25/500 - Loss: 0.2259
Epoch 26/500 - Loss: 0.2223
Epoch 27/500 - Loss: 0.2243
Epoch 28/500 - Loss: 0.2229
Epoch 29/500 - Loss: 0.2232
Epoch 30/500 - Loss: 0.2222
Epoch 31/500 - Loss: 0.2216
Epoch 32/500 - Loss: 0.2204
Epoch 33/500 - Loss: 0.2227
Epoch 34/500 - Loss: 0.2205
Epoch 35/500 - Loss: 0.2209
Epoch 36/500 - Loss: 0.2235
Epoch 37/500 - Loss: 0.2194
Epoch 38/500 - Loss: 0.2206
Epoch 39/500 - Loss: 0.2230
Epoch 40/500 - Loss: 0.2202
Epoch 41/500 - Loss: 0.2181
Epoch 42/500 - Loss: 0.2174
Epoch 43/500 - Loss: 0.2194
Epoch 44/500 - Loss: 0.2215
Epoch 45/500 - Loss: 0.2205
Epoch 46/500 - Loss: 0.2172
Epoch 47/500 - Loss: 0.2171
Epoch 48/500 - Loss: 0.2183
Epoch 49/500 - Loss: 0.2185
Epoch 50/500 - Loss: 0.2136
Epoch 51/500 - Loss: 0.2188
Epoch 52/500 - Loss: 0.2166
Epoch 53/500 - Loss: 0.2161
Epoch 54/500 - Loss: 0.2158
Epoch 55/500 - Loss: 0.2137
Epoch 56/500 - Loss: 0.2156
Epoch 57/500 - Loss: 0.2183
Epoch 58/500 - Loss: 0.2134
Epoch 59/500 - Loss: 0.2173
Epoch 60/500 - Loss: 0.2130
Epoch 61/500 - Loss: 0.2140
Epoch 62/500 - Loss: 0.2152
Epoch 63/500 - Loss: 0.2115
Epoch 64/500 - Loss: 0.2136
Epoch 65/500 - Loss: 0.2184
Epoch 66/500 - Loss: 0.2110
Epoch 67/500 - Loss: 0.2133
Epoch 68/500 - Loss: 0.2130
Epoch 69/500 - Loss: 0.2143
Epoch 70/500 - Loss: 0.2115
Epoch 71/500 - Loss: 0.2113
Epoch 72/500 - Loss: 0.2125
Epoch 73/500 - Loss: 0.2140
Epoch 74/500 - Loss: 0.2122
Epoch 75/500 - Loss: 0.2109
Epoch 76/500 - Loss: 0.2117
Epoch 77/500 - Loss: 0.2116
Epoch 78/500 - Loss: 0.2097
Epoch 79/500 - Loss: 0.2110
Epoch 80/500 - Loss: 0.2101
Epoch 81/500 - Loss: 0.2101
Epoch 82/500 - Loss: 0.2129
Epoch 83/500 - Loss: 0.2098
Epoch 84/500 - Loss: 0.2138
Epoch 85/500 - Loss: 0.2112
Epoch 86/500 - Loss: 0.2118
Epoch 87/500 - Loss: 0.2093
Epoch 88/500 - Loss: 0.2076
Epoch 89/500 - Loss: 0.2090
Epoch 90/500 - Loss: 0.2069
Epoch 91/500 - Loss: 0.2130
Epoch 92/500 - Loss: 0.2080
Epoch 93/500 - Loss: 0.2073
Epoch 94/500 - Loss: 0.2091
Epoch 95/500 - Loss: 0.2090
Epoch 96/500 - Loss: 0.2087
Epoch 97/500 - Loss: 0.2086
Epoch 98/500 - Loss: 0.2066
Epoch 99/500 - Loss: 0.2077
Epoch 100/500 - Loss: 0.2100
Epoch 101/500 - Loss: 0.2075
Epoch 102/500 - Loss: 0.2057
Epoch 103/500 - Loss: 0.2082
Epoch 104/500 - Loss: 0.2081
Epoch 105/500 - Loss: 0.2084
Epoch 106/500 - Loss: 0.2061
Epoch 107/500 - Loss: 0.2084
Epoch 108/500 - Loss: 0.2071
Epoch 109/500 - Loss: 0.2081
Epoch 110/500 - Loss: 0.2081
Epoch 111/500 - Loss: 0.2090
Epoch 112/500 - Loss: 0.2068
repeat_counter limit reached.
['1_0.23', '3_0.24120769542168807', '2_0.23964066229720804', '4_0.2201048572433186']
SAVING IN runs/5_0.20568031128396325
