<torch.utils.data.dataloader.DataLoader object at 0x7ff21ffebaf0>
Epoch 1/500 - Loss: 1.0973
Epoch 2/500 - Loss: 0.4564
Epoch 3/500 - Loss: 0.4008
Epoch 4/500 - Loss: 0.3822
Epoch 5/500 - Loss: 0.3733
Epoch 6/500 - Loss: 0.3646
Epoch 7/500 - Loss: 0.3605
Epoch 8/500 - Loss: 0.3555
Epoch 9/500 - Loss: 0.3511
Epoch 10/500 - Loss: 0.3466
Epoch 11/500 - Loss: 0.3421
Epoch 12/500 - Loss: 0.3375
Epoch 13/500 - Loss: 0.3340
Epoch 14/500 - Loss: 0.3338
Epoch 15/500 - Loss: 0.3273
Epoch 16/500 - Loss: 0.3261
Epoch 17/500 - Loss: 0.3229
Epoch 18/500 - Loss: 0.3219
Epoch 19/500 - Loss: 0.3171
Epoch 20/500 - Loss: 0.3159
Epoch 21/500 - Loss: 0.3100
Epoch 22/500 - Loss: 0.3064
Epoch 23/500 - Loss: 0.3048
Epoch 24/500 - Loss: 0.3023
Epoch 25/500 - Loss: 0.3007
Epoch 26/500 - Loss: 0.2962
Epoch 27/500 - Loss: 0.2949
Epoch 28/500 - Loss: 0.2903
Epoch 29/500 - Loss: 0.2890
Epoch 30/500 - Loss: 0.2872
Epoch 31/500 - Loss: 0.2853
Epoch 32/500 - Loss: 0.2832
Epoch 33/500 - Loss: 0.2804
Epoch 34/500 - Loss: 0.2825
Epoch 35/500 - Loss: 0.2772
Epoch 36/500 - Loss: 0.2775
Epoch 37/500 - Loss: 0.2751
Epoch 38/500 - Loss: 0.2726
Epoch 39/500 - Loss: 0.2675
Epoch 40/500 - Loss: 0.2702
Epoch 41/500 - Loss: 0.2664
Epoch 42/500 - Loss: 0.2642
Epoch 43/500 - Loss: 0.2622
Epoch 44/500 - Loss: 0.2605
Epoch 45/500 - Loss: 0.2626
Epoch 46/500 - Loss: 0.2568
Epoch 47/500 - Loss: 0.2596
Epoch 48/500 - Loss: 0.2577
Epoch 49/500 - Loss: 0.2540
Epoch 50/500 - Loss: 0.2510
Epoch 51/500 - Loss: 0.2535
Epoch 52/500 - Loss: 0.2522
Epoch 53/500 - Loss: 0.2517
Epoch 54/500 - Loss: 0.2494
Epoch 55/500 - Loss: 0.2481
Epoch 56/500 - Loss: 0.2518
Epoch 57/500 - Loss: 0.2460
Epoch 58/500 - Loss: 0.2466
Epoch 59/500 - Loss: 0.2435
Epoch 60/500 - Loss: 0.2479
Epoch 61/500 - Loss: 0.2438
Epoch 62/500 - Loss: 0.2458
Epoch 63/500 - Loss: 0.2406
Epoch 64/500 - Loss: 0.2404
Epoch 65/500 - Loss: 0.2429
Epoch 66/500 - Loss: 0.2439
Epoch 67/500 - Loss: 0.2397
Epoch 68/500 - Loss: 0.2454
Epoch 69/500 - Loss: 0.2379
Epoch 70/500 - Loss: 0.2402
Epoch 71/500 - Loss: 0.2396
Epoch 72/500 - Loss: 0.2407
Epoch 73/500 - Loss: 0.2384
Epoch 74/500 - Loss: 0.2351
Epoch 75/500 - Loss: 0.2376
Epoch 76/500 - Loss: 0.2370
Epoch 77/500 - Loss: 0.2373
Epoch 78/500 - Loss: 0.2358
Epoch 79/500 - Loss: 0.2360
Epoch 80/500 - Loss: 0.2348
Epoch 81/500 - Loss: 0.2362
Epoch 82/500 - Loss: 0.2352
Epoch 83/500 - Loss: 0.2342
Epoch 84/500 - Loss: 0.2335
Epoch 85/500 - Loss: 0.2328
Epoch 86/500 - Loss: 0.2351
Epoch 87/500 - Loss: 0.2311
Epoch 88/500 - Loss: 0.2355
Epoch 89/500 - Loss: 0.2339
Epoch 90/500 - Loss: 0.2312
Epoch 91/500 - Loss: 0.2373
Epoch 92/500 - Loss: 0.2312
Epoch 93/500 - Loss: 0.2330
Epoch 94/500 - Loss: 0.2302
Epoch 95/500 - Loss: 0.2326
Epoch 96/500 - Loss: 0.2317
Epoch 97/500 - Loss: 0.2326
Epoch 98/500 - Loss: 0.2315
Epoch 99/500 - Loss: 0.2309
Epoch 100/500 - Loss: 0.2307
Epoch 101/500 - Loss: 0.2295
Epoch 102/500 - Loss: 0.2289
Epoch 103/500 - Loss: 0.2342
Epoch 104/500 - Loss: 0.2298
Epoch 105/500 - Loss: 0.2300
Epoch 106/500 - Loss: 0.2264
Epoch 107/500 - Loss: 0.2276
Epoch 108/500 - Loss: 0.2290
Epoch 109/500 - Loss: 0.2301
Epoch 110/500 - Loss: 0.2270
Epoch 111/500 - Loss: 0.2279
Epoch 112/500 - Loss: 0.2280
Epoch 113/500 - Loss: 0.2270
Epoch 114/500 - Loss: 0.2277
Epoch 115/500 - Loss: 0.2282
Epoch 116/500 - Loss: 0.2268
repeat_counter limit reached.
['1_0.23', '5_0.20568031128396325', '3_0.24120769542168807', '2_0.23964066229720804', '4_0.2201048572433186']
SAVING IN runs/6_0.22636230218219247
