<torch.utils.data.dataloader.DataLoader object at 0x7f25d98c7af0>
Epoch 1/500 - Loss: 1.1426
Epoch 2/500 - Loss: 0.4923
Epoch 3/500 - Loss: 0.4127
Epoch 4/500 - Loss: 0.3907
Epoch 5/500 - Loss: 0.3775
Epoch 6/500 - Loss: 0.3682
Epoch 7/500 - Loss: 0.3581
Epoch 8/500 - Loss: 0.3525
Epoch 9/500 - Loss: 0.3479
Epoch 10/500 - Loss: 0.3434
Epoch 11/500 - Loss: 0.3375
Epoch 12/500 - Loss: 0.3381
Epoch 13/500 - Loss: 0.3374
Epoch 14/500 - Loss: 0.3302
Epoch 15/500 - Loss: 0.3307
Epoch 16/500 - Loss: 0.3244
Epoch 17/500 - Loss: 0.3224
Epoch 18/500 - Loss: 0.3227
Epoch 19/500 - Loss: 0.3180
Epoch 20/500 - Loss: 0.3149
Epoch 21/500 - Loss: 0.3133
Epoch 22/500 - Loss: 0.3135
Epoch 23/500 - Loss: 0.3125
Epoch 24/500 - Loss: 0.3085
Epoch 25/500 - Loss: 0.3074
Epoch 26/500 - Loss: 0.3033
Epoch 27/500 - Loss: 0.3036
Epoch 28/500 - Loss: 0.3013
Epoch 29/500 - Loss: 0.2972
Epoch 30/500 - Loss: 0.2964
Epoch 31/500 - Loss: 0.2956
Epoch 32/500 - Loss: 0.2922
Epoch 33/500 - Loss: 0.2887
Epoch 34/500 - Loss: 0.2903
Epoch 35/500 - Loss: 0.2855
Epoch 36/500 - Loss: 0.2834
Epoch 37/500 - Loss: 0.2838
Epoch 38/500 - Loss: 0.2805
Epoch 39/500 - Loss: 0.2795
Epoch 40/500 - Loss: 0.2786
Epoch 41/500 - Loss: 0.2770
Epoch 42/500 - Loss: 0.2750
Epoch 43/500 - Loss: 0.2740
Epoch 44/500 - Loss: 0.2701
Epoch 45/500 - Loss: 0.2679
Epoch 46/500 - Loss: 0.2685
Epoch 47/500 - Loss: 0.2665
Epoch 48/500 - Loss: 0.2645
Epoch 49/500 - Loss: 0.2612
Epoch 50/500 - Loss: 0.2636
Epoch 51/500 - Loss: 0.2600
Epoch 52/500 - Loss: 0.2578
Epoch 53/500 - Loss: 0.2537
Epoch 54/500 - Loss: 0.2543
Epoch 55/500 - Loss: 0.2513
Epoch 56/500 - Loss: 0.2489
Epoch 57/500 - Loss: 0.2496
Epoch 58/500 - Loss: 0.2484
Epoch 59/500 - Loss: 0.2481
Epoch 60/500 - Loss: 0.2458
Epoch 61/500 - Loss: 0.2452
Epoch 62/500 - Loss: 0.2453
Epoch 63/500 - Loss: 0.2443
Epoch 64/500 - Loss: 0.2396
Epoch 65/500 - Loss: 0.2435
Epoch 66/500 - Loss: 0.2397
Epoch 67/500 - Loss: 0.2412
Epoch 68/500 - Loss: 0.2383
Epoch 69/500 - Loss: 0.2407
Epoch 70/500 - Loss: 0.2391
Epoch 71/500 - Loss: 0.2400
Epoch 72/500 - Loss: 0.2379
Epoch 73/500 - Loss: 0.2375
Epoch 74/500 - Loss: 0.2371
Epoch 75/500 - Loss: 0.2340
Epoch 76/500 - Loss: 0.2362
Epoch 77/500 - Loss: 0.2376
Epoch 78/500 - Loss: 0.2359
Epoch 79/500 - Loss: 0.2326
Epoch 80/500 - Loss: 0.2344
Epoch 81/500 - Loss: 0.2346
Epoch 82/500 - Loss: 0.2343
Epoch 83/500 - Loss: 0.2315
Epoch 84/500 - Loss: 0.2299
Epoch 85/500 - Loss: 0.2316
Epoch 86/500 - Loss: 0.2304
Epoch 87/500 - Loss: 0.2352
Epoch 88/500 - Loss: 0.2318
Epoch 89/500 - Loss: 0.2292
Epoch 90/500 - Loss: 0.2347
Epoch 91/500 - Loss: 0.2307
Epoch 92/500 - Loss: 0.2298
Epoch 93/500 - Loss: 0.2297
Epoch 94/500 - Loss: 0.2286
Epoch 95/500 - Loss: 0.2310
Epoch 96/500 - Loss: 0.2279
Epoch 97/500 - Loss: 0.2303
Epoch 98/500 - Loss: 0.2303
Epoch 99/500 - Loss: 0.2286
Epoch 100/500 - Loss: 0.2275
Epoch 101/500 - Loss: 0.2283
Epoch 102/500 - Loss: 0.2278
Epoch 103/500 - Loss: 0.2258
Epoch 104/500 - Loss: 0.2273
Epoch 105/500 - Loss: 0.2302
Epoch 106/500 - Loss: 0.2278
Epoch 107/500 - Loss: 0.2272
Epoch 108/500 - Loss: 0.2243
Epoch 109/500 - Loss: 0.2267
Epoch 110/500 - Loss: 0.2269
Epoch 111/500 - Loss: 0.2271
Epoch 112/500 - Loss: 0.2264
Epoch 113/500 - Loss: 0.2301
Epoch 114/500 - Loss: 0.2252
Epoch 115/500 - Loss: 0.2279
Epoch 116/500 - Loss: 0.2258
Epoch 117/500 - Loss: 0.2248
Epoch 118/500 - Loss: 0.2250
Epoch 119/500 - Loss: 0.2246
Epoch 120/500 - Loss: 0.2255
Epoch 121/500 - Loss: 0.2251
Epoch 122/500 - Loss: 0.2248
Epoch 123/500 - Loss: 0.2239
Epoch 124/500 - Loss: 0.2243
Epoch 125/500 - Loss: 0.2225
Epoch 126/500 - Loss: 0.2223
Epoch 127/500 - Loss: 0.2215
Epoch 128/500 - Loss: 0.2217
Epoch 129/500 - Loss: 0.2227
Epoch 130/500 - Loss: 0.2234
Epoch 131/500 - Loss: 0.2216
Epoch 132/500 - Loss: 0.2210
Epoch 133/500 - Loss: 0.2227
Epoch 134/500 - Loss: 0.2225
Epoch 135/500 - Loss: 0.2221
Epoch 136/500 - Loss: 0.2207
Epoch 137/500 - Loss: 0.2220
Epoch 138/500 - Loss: 0.2212
Epoch 139/500 - Loss: 0.2217
Epoch 140/500 - Loss: 0.2197
Epoch 141/500 - Loss: 0.2233
Epoch 142/500 - Loss: 0.2195
Epoch 143/500 - Loss: 0.2203
Epoch 144/500 - Loss: 0.2214
Epoch 145/500 - Loss: 0.2194
Epoch 146/500 - Loss: 0.2190
Epoch 147/500 - Loss: 0.2202
Epoch 148/500 - Loss: 0.2206
Epoch 149/500 - Loss: 0.2213
Epoch 150/500 - Loss: 0.2188
Epoch 151/500 - Loss: 0.2208
Epoch 152/500 - Loss: 0.2186
Epoch 153/500 - Loss: 0.2182
Epoch 154/500 - Loss: 0.2176
Epoch 155/500 - Loss: 0.2206
Epoch 156/500 - Loss: 0.2191
Epoch 157/500 - Loss: 0.2198
Epoch 158/500 - Loss: 0.2190
Epoch 159/500 - Loss: 0.2200
Epoch 160/500 - Loss: 0.2188
Epoch 161/500 - Loss: 0.2194
Epoch 162/500 - Loss: 0.2175
Epoch 163/500 - Loss: 0.2188
Epoch 164/500 - Loss: 0.2166
Epoch 165/500 - Loss: 0.2174
Epoch 166/500 - Loss: 0.2152
Epoch 167/500 - Loss: 0.2170
Epoch 168/500 - Loss: 0.2152
Epoch 169/500 - Loss: 0.2158
Epoch 170/500 - Loss: 0.2171
Epoch 171/500 - Loss: 0.2164
Epoch 172/500 - Loss: 0.2181
Epoch 173/500 - Loss: 0.2156
Epoch 174/500 - Loss: 0.2168
Epoch 175/500 - Loss: 0.2167
Epoch 176/500 - Loss: 0.2143
Epoch 177/500 - Loss: 0.2177
Epoch 178/500 - Loss: 0.2157
Epoch 179/500 - Loss: 0.2141
Epoch 180/500 - Loss: 0.2134
Epoch 181/500 - Loss: 0.2145
