<torch.utils.data.dataloader.DataLoader object at 0x7feaa6da7af0>
Epoch 1/500 - Loss: 1.2661
Epoch 2/500 - Loss: 0.3333
Epoch 3/500 - Loss: 0.2730
Epoch 4/500 - Loss: 0.2637
Epoch 5/500 - Loss: 0.2544
Epoch 6/500 - Loss: 0.2483
Epoch 7/500 - Loss: 0.2446
Epoch 8/500 - Loss: 0.2391
Epoch 9/500 - Loss: 0.2327
Epoch 10/500 - Loss: 0.2372
Epoch 11/500 - Loss: 0.2264
Epoch 12/500 - Loss: 0.2272
Epoch 13/500 - Loss: 0.2288
Epoch 14/500 - Loss: 0.2306
Epoch 15/500 - Loss: 0.2213
Epoch 16/500 - Loss: 0.2202
Epoch 17/500 - Loss: 0.2158
Epoch 18/500 - Loss: 0.2201
Epoch 19/500 - Loss: 0.2137
Epoch 20/500 - Loss: 0.2200
Epoch 21/500 - Loss: 0.2154
Epoch 22/500 - Loss: 0.2187
Epoch 23/500 - Loss: 0.2146
Epoch 24/500 - Loss: 0.2100
Epoch 25/500 - Loss: 0.2080
Epoch 26/500 - Loss: 0.2041
Epoch 27/500 - Loss: 0.2084
Epoch 28/500 - Loss: 0.2054
Epoch 29/500 - Loss: 0.2099
Epoch 30/500 - Loss: 0.2083
Epoch 31/500 - Loss: 0.2032
Epoch 32/500 - Loss: 0.2020
Epoch 33/500 - Loss: 0.2023
Epoch 34/500 - Loss: 0.2024
Epoch 35/500 - Loss: 0.2006
Epoch 36/500 - Loss: 0.2030
Epoch 37/500 - Loss: 0.2018
Epoch 38/500 - Loss: 0.2117
Epoch 39/500 - Loss: 0.1995
Epoch 40/500 - Loss: 0.1985
Epoch 41/500 - Loss: 0.2003
Epoch 42/500 - Loss: 0.1981
Epoch 43/500 - Loss: 0.1999
Epoch 44/500 - Loss: 0.1983
Epoch 45/500 - Loss: 0.1988
Epoch 46/500 - Loss: 0.1976
Epoch 47/500 - Loss: 0.1969
Epoch 48/500 - Loss: 0.1969
Epoch 49/500 - Loss: 0.1983
Epoch 50/500 - Loss: 0.1970
Epoch 51/500 - Loss: 0.1998
Epoch 52/500 - Loss: 0.1978
Epoch 53/500 - Loss: 0.1951
Epoch 54/500 - Loss: 0.1968
Epoch 55/500 - Loss: 0.1966
Epoch 56/500 - Loss: 0.1941
Epoch 57/500 - Loss: 0.1957
Epoch 58/500 - Loss: 0.1971
Epoch 59/500 - Loss: 0.1946
Epoch 60/500 - Loss: 0.1973
Epoch 61/500 - Loss: 0.1950
Epoch 62/500 - Loss: 0.1946
Epoch 63/500 - Loss: 0.1956
Epoch 64/500 - Loss: 0.1947
Epoch 65/500 - Loss: 0.1967
Epoch 66/500 - Loss: 0.1948
Epoch 67/500 - Loss: 0.1942
Epoch 68/500 - Loss: 0.1952
Epoch 69/500 - Loss: 0.1931
Epoch 70/500 - Loss: 0.1958
Epoch 71/500 - Loss: 0.1981
Epoch 72/500 - Loss: 0.1962
Epoch 73/500 - Loss: 0.1916
Epoch 74/500 - Loss: 0.1938
Epoch 75/500 - Loss: 0.1937
Epoch 76/500 - Loss: 0.1921
Epoch 77/500 - Loss: 0.1938
Epoch 78/500 - Loss: 0.1936
Epoch 79/500 - Loss: 0.1975
Epoch 80/500 - Loss: 0.1918
Epoch 81/500 - Loss: 0.1922
Epoch 82/500 - Loss: 0.1916
Epoch 83/500 - Loss: 0.1915
Epoch 84/500 - Loss: 0.1921
Epoch 85/500 - Loss: 0.1932
Epoch 86/500 - Loss: 0.1920
Epoch 87/500 - Loss: 0.1913
Epoch 88/500 - Loss: 0.1937
Epoch 89/500 - Loss: 0.1941
Epoch 90/500 - Loss: 0.1913
Epoch 91/500 - Loss: 0.1901
Epoch 92/500 - Loss: 0.1901
Epoch 93/500 - Loss: 0.1913
