cuda
<torch.utils.data.dataloader.DataLoader object at 0x7f1f9d9f8a00>
Epoch 1/1000 - Loss: 0.9070
Epoch 2/1000 - Loss: 0.1114
Epoch 3/1000 - Loss: 0.5191
Epoch 4/1000 - Loss: 0.1479
Epoch 5/1000 - Loss: 0.0915
Epoch 6/1000 - Loss: 0.0866
Epoch 7/1000 - Loss: 0.0832
Epoch 8/1000 - Loss: 0.0794
Epoch 9/1000 - Loss: 0.0767
Epoch 10/1000 - Loss: 0.0746
Epoch 11/1000 - Loss: 0.0711
Epoch 12/1000 - Loss: 0.0687
Epoch 13/1000 - Loss: 0.0676
Epoch 14/1000 - Loss: 0.0658
Epoch 15/1000 - Loss: 0.0643
Epoch 16/1000 - Loss: 0.0622
Epoch 17/1000 - Loss: 0.0604
Epoch 18/1000 - Loss: 0.0600
Epoch 19/1000 - Loss: 0.0593
Epoch 20/1000 - Loss: 0.0567
Epoch 21/1000 - Loss: 0.0557
Epoch 22/1000 - Loss: 0.0543
Epoch 23/1000 - Loss: 0.1965
Epoch 24/1000 - Loss: 0.0892
Epoch 25/1000 - Loss: 0.0561
Epoch 26/1000 - Loss: 0.0532
Epoch 27/1000 - Loss: 0.0511
Epoch 28/1000 - Loss: 0.0511
Epoch 29/1000 - Loss: 0.0504
Epoch 30/1000 - Loss: 0.0506
Epoch 31/1000 - Loss: 0.0495
Epoch 32/1000 - Loss: 0.0496
Epoch 33/1000 - Loss: 0.0494
Epoch 34/1000 - Loss: 0.0498
Epoch 35/1000 - Loss: 0.0498
Epoch 36/1000 - Loss: 0.0489
Epoch 37/1000 - Loss: 0.0477
Epoch 38/1000 - Loss: 0.0487
Epoch 39/1000 - Loss: 0.0482
Epoch 40/1000 - Loss: 0.0476
Epoch 41/1000 - Loss: 0.0476
Epoch 42/1000 - Loss: 0.0483
Epoch 43/1000 - Loss: 0.0475
Epoch 44/1000 - Loss: 0.0460
Epoch 45/1000 - Loss: 0.0461
Epoch 46/1000 - Loss: 0.0458
Epoch 47/1000 - Loss: 0.0455
Epoch 48/1000 - Loss: 0.0458
