cuda
<torch.utils.data.dataloader.DataLoader object at 0x7feab98f89d0>
Epoch 1/500 - Loss: 0.9306
Epoch 2/500 - Loss: 0.3796
Epoch 3/500 - Loss: 0.2361
Epoch 4/500 - Loss: 0.1547
Epoch 5/500 - Loss: 0.1214
Epoch 6/500 - Loss: 0.1066
Epoch 7/500 - Loss: 0.1240
Epoch 8/500 - Loss: 0.0812
Epoch 9/500 - Loss: 0.0772
Epoch 10/500 - Loss: 0.0741
Epoch 11/500 - Loss: 0.0722
Epoch 12/500 - Loss: 0.0720
Epoch 13/500 - Loss: 0.0703
Epoch 14/500 - Loss: 0.0687
Epoch 15/500 - Loss: 0.0683
Epoch 16/500 - Loss: 0.0674
Epoch 17/500 - Loss: 0.0670
Epoch 18/500 - Loss: 0.0834
Epoch 19/500 - Loss: 0.0685
Epoch 20/500 - Loss: 0.0656
Epoch 21/500 - Loss: 0.0652
Epoch 22/500 - Loss: 0.0649
Epoch 23/500 - Loss: 0.0650
Epoch 24/500 - Loss: 0.0648
Epoch 25/500 - Loss: 0.0650
Epoch 26/500 - Loss: 0.0645
Epoch 27/500 - Loss: 0.0647
Epoch 28/500 - Loss: 0.0643
Epoch 29/500 - Loss: 0.0652
Epoch 30/500 - Loss: 0.0641
Epoch 31/500 - Loss: 0.0640
Epoch 32/500 - Loss: 0.0640
Epoch 33/500 - Loss: 0.0634
Epoch 34/500 - Loss: 0.0636
Epoch 35/500 - Loss: 0.0632
Epoch 36/500 - Loss: 0.0627
Epoch 37/500 - Loss: 0.0628
Epoch 38/500 - Loss: 0.0658
Epoch 39/500 - Loss: 0.0624
Epoch 40/500 - Loss: 0.0622
Epoch 41/500 - Loss: 0.0622
Epoch 42/500 - Loss: 0.0620
Epoch 43/500 - Loss: 0.0620
Epoch 44/500 - Loss: 0.0619
Epoch 45/500 - Loss: 0.0618
Epoch 46/500 - Loss: 0.0617
Epoch 47/500 - Loss: 0.0617
Epoch 48/500 - Loss: 0.0616
Epoch 49/500 - Loss: 0.0616
Epoch 50/500 - Loss: 0.0614
Epoch 51/500 - Loss: 0.0613
Epoch 52/500 - Loss: 0.0621
Epoch 53/500 - Loss: 0.0609
Epoch 54/500 - Loss: 0.0609
Epoch 55/500 - Loss: 0.0608
Epoch 56/500 - Loss: 0.0608
Epoch 57/500 - Loss: 0.0607
Epoch 58/500 - Loss: 0.0608
Epoch 59/500 - Loss: 0.0605
Epoch 60/500 - Loss: 0.0607
Epoch 61/500 - Loss: 0.0610
Epoch 62/500 - Loss: 0.0602
Epoch 63/500 - Loss: 0.0601
Epoch 64/500 - Loss: 0.0599
Epoch 65/500 - Loss: 0.0602
Epoch 66/500 - Loss: 0.0600
Epoch 67/500 - Loss: 0.0600
Epoch 68/500 - Loss: 0.0603
Epoch 69/500 - Loss: 0.0599
Epoch 70/500 - Loss: 0.0598
Epoch 71/500 - Loss: 0.0598
Epoch 72/500 - Loss: 0.0596
Epoch 73/500 - Loss: 0.0595
Epoch 74/500 - Loss: 0.0595
Epoch 75/500 - Loss: 0.0597
Epoch 76/500 - Loss: 0.0596
Epoch 77/500 - Loss: 0.0596
Epoch 78/500 - Loss: 0.0594
Epoch 79/500 - Loss: 0.0592
Epoch 80/500 - Loss: 0.0592
Epoch 81/500 - Loss: 0.0591
Epoch 82/500 - Loss: 0.0592
Epoch 83/500 - Loss: 0.0591
Epoch 84/500 - Loss: 0.0590
Epoch 85/500 - Loss: 0.0589
Epoch 86/500 - Loss: 0.0592
Epoch 87/500 - Loss: 0.0591
Epoch 88/500 - Loss: 0.0590
Epoch 89/500 - Loss: 0.0591
Epoch 90/500 - Loss: 0.0588
Epoch 91/500 - Loss: 0.0587
Epoch 92/500 - Loss: 0.0587
Epoch 93/500 - Loss: 0.0586
Epoch 94/500 - Loss: 0.0586
Epoch 95/500 - Loss: 0.0586
Epoch 96/500 - Loss: 0.0586
Epoch 97/500 - Loss: 0.0593
Epoch 98/500 - Loss: 0.0584
Epoch 99/500 - Loss: 0.0585
Epoch 100/500 - Loss: 0.0585
Epoch 101/500 - Loss: 0.0585
Epoch 102/500 - Loss: 0.0584
Epoch 103/500 - Loss: 0.0585
Epoch 104/500 - Loss: 0.0591
Epoch 105/500 - Loss: 0.0583
Epoch 106/500 - Loss: 0.0582
Epoch 107/500 - Loss: 0.0584
Epoch 108/500 - Loss: 0.0582
Epoch 109/500 - Loss: 0.0581
Epoch 110/500 - Loss: 0.0582
Epoch 111/500 - Loss: 0.0583
Epoch 112/500 - Loss: 0.0582
Epoch 113/500 - Loss: 0.0582
Epoch 114/500 - Loss: 0.0580
Epoch 115/500 - Loss: 0.0582
Epoch 116/500 - Loss: 0.0598
Epoch 117/500 - Loss: 0.0581
Epoch 118/500 - Loss: 0.0579
Epoch 119/500 - Loss: 0.0580
Epoch 120/500 - Loss: 0.0580
Epoch 121/500 - Loss: 0.0580
Epoch 122/500 - Loss: 0.0579
Epoch 123/500 - Loss: 0.0586
Epoch 124/500 - Loss: 0.0579
Epoch 125/500 - Loss: 0.0580
Epoch 126/500 - Loss: 0.0579
Epoch 127/500 - Loss: 0.0578
Epoch 128/500 - Loss: 0.0581
Epoch 129/500 - Loss: 0.0580
Epoch 130/500 - Loss: 0.0580
Epoch 131/500 - Loss: 0.0581
Epoch 132/500 - Loss: 0.0579
Epoch 133/500 - Loss: 0.0580
Epoch 134/500 - Loss: 0.0579
Epoch 135/500 - Loss: 0.0579
Epoch 136/500 - Loss: 0.0580
Epoch 137/500 - Loss: 0.0580
Epoch 138/500 - Loss: 0.0587
Epoch 139/500 - Loss: 0.0583
Epoch 140/500 - Loss: 0.0577
Epoch 141/500 - Loss: 0.0577
Epoch 142/500 - Loss: 0.0576
Epoch 143/500 - Loss: 0.0578
Epoch 144/500 - Loss: 0.0578
Epoch 145/500 - Loss: 0.0577
Epoch 146/500 - Loss: 0.0577
Epoch 147/500 - Loss: 0.0576
Epoch 148/500 - Loss: 0.0577
Epoch 149/500 - Loss: 0.0577
Epoch 150/500 - Loss: 0.0577
Epoch 151/500 - Loss: 0.0578
Epoch 152/500 - Loss: 0.0576
Epoch 153/500 - Loss: 0.0576
Epoch 154/500 - Loss: 0.0576
Epoch 155/500 - Loss: 0.0576
Epoch 156/500 - Loss: 0.0582
Epoch 157/500 - Loss: 0.0575
Epoch 158/500 - Loss: 0.0574
Epoch 159/500 - Loss: 0.0575
Epoch 160/500 - Loss: 0.0576
Epoch 161/500 - Loss: 0.0574
Epoch 162/500 - Loss: 0.0582
Epoch 163/500 - Loss: 0.0574
Epoch 164/500 - Loss: 0.0573
Epoch 165/500 - Loss: 0.0574
Epoch 166/500 - Loss: 0.0574
Epoch 167/500 - Loss: 0.0575
Epoch 168/500 - Loss: 0.0574
Epoch 169/500 - Loss: 0.0575
Epoch 170/500 - Loss: 0.0575
Epoch 171/500 - Loss: 0.0575
Epoch 172/500 - Loss: 0.0574
Epoch 173/500 - Loss: 0.0576
Epoch 174/500 - Loss: 0.0576
Epoch 175/500 - Loss: 0.0573
Epoch 176/500 - Loss: 0.0572
Epoch 177/500 - Loss: 0.0574
